iris,0.926667,0.89,0.92,0.294073,10,0
cleveland,0.567241,0.32566,0.751515,0.530785,10,0
led7digit,0.65,0.609744,0.8104,0.941484,10,0
pima,0.70589,0.340727,0.764453,1.86812,10,0
wdbc,0.950247,0.891204,0.833392,1.68518,10,0
monk,0.835401,0.670434,0.789815,0.938718,10,0
wisconsin,0.962262,0.916888,0.842313,1.78548,10,0
wine,0.948941,0.921665,0.898876,0.36443,10,0
glass,0.766476,0.666367,0.754206,0.29837,10,0
banknote,0.997091,0.994112,0.820627,4.39168,10,0
banana,0.873585,2.24691,0.805057,1.41864,10,1
cardiotocography,0.888669,1.04929,0.832597,0.524539,10,1
eye_state,0.794526,2.68641,0.74508,5.02524,10,1
page_blocks,0.955227,0.760034,0.83125,1.76334,10,1
penbased,0.988628,0.987362,0.801201,3.4993,10,1
satimage,0.89355,0.868649,0.787133,2.02717,10,1
thyroid,0.941944,0.975497,0.8225,2.51475,10,1
segment,0.15974,0.019697,0.339221,0.404109,10,1
credit_card,0.742467,1.04916,0.760736,4.31277,25,1
shuttle,0.99881,0.996632,0.789359,9.44869,25,1
